ean,name_pt,expected_seller,expected_url,notes
8436579958152,,,,
8436579958169,,,,
8436579958176,,,,
8436579958183,,,,
8436579958138,,,,
8436579958145,,,,
8436579958091,,,,
8436579958107,,,,
8436579958114,,,,
8436579958121,,,,
